latitude,longitude,date,capacity,plantid,type,Category
39.5522,-92.6381,1966-12,171.7,2168,Refined Coal,Coal
37.9111,-87.3275,1966-12,103.7,1012,Bituminous Coal,Coal
32.714224,-103.301469,1967-01,113.6,2446,Natural Gas,Natural Gas
40.2522,-80.6486,1967-02,615.2,2828,Bituminous Coal,Coal
35.4346,-80.9588,1967-04,87.5,2722,Water,Hydro
39.8076,-76.2993,1967-04,134,3164,Water,Hydro
41.944039,-91.639167,1967-04,148.8,1073,Natural Gas,Natural Gas
38.915479,-90.290247,1967-05,549.7,2107,Subbituminous Coal,Coal
39.6551,-105.7088,1967-06,150,467,Water,Hydro
39.8076,-76.2993,1967-06,134,3164,Water,Hydro
39.590556,-89.496389,1967-06,659.5,876,Subbituminous Coal,Coal
42.910296,-86.20074,1967-07,378.8,1710,Subbituminous Coal,Coal
32.16,-110.9047,1967-07,173.3,126,Natural Gas,Natural Gas
32.583889,-86.283056,1967-07,75,4,Water,Hydro
40.2522,-80.6486,1967-07,615.2,2828,Bituminous Coal,Coal
32.7231,-96.9358,1967-07,580.5,3453,Natural Gas,Natural Gas
33.068055,-96.452481,1967-07,75,3576,Natural Gas,Natural Gas
37.584345,-120.26859,1967-07,94.5,409,Water,Hydro
40.923565,-73.342323,1967-07,387,2516,Natural Gas,Natural Gas
35.1009,-98.3524,1967-07,315,2964,Natural Gas,Natural Gas
48.987111,-117.347847,1967-08,161.5,6433,Water,Hydro
32.583889,-86.283056,1967-08,75,4,Water,Hydro
40.6604,-79.3411,1967-08,936,3136,Bituminous Coal,Coal
48.987111,-117.347847,1967-09,158.4,6433,Water,Hydro
41.573361,-73.96457,1967-09,239.4,2480,Natural Gas,Natural Gas
47.9469,-119.8653,1967-09,77.4,3886,Water,Hydro
45.2439,-116.7008,1967-10,150.1,3013,Water,Hydro
27.9072,-82.4231,1967-10,445.7,7873,Natural Gas,Natural Gas
47.9469,-119.8653,1967-10,77.4,3886,Water,Hydro
39.8076,-76.2993,1967-10,134,3164,Water,Hydro
39.710833,-79.9275,1967-10,576,3943,Bituminous Coal,Coal
42.8457,-87.8294,1967-10,324,4041,Subbituminous Coal,Coal
45.2439,-116.7008,1967-12,130.5,3013,Water,Hydro
35.283357,-101.746423,1968-01,247.5,3484,Natural Gas,Natural Gas
38.765336,-120.787366,1968-02,133,435,Water,Hydro
39.8076,-76.2993,1968-02,134,3164,Water,Hydro
30.1456,-97.2708,1968-03,136,3601,Natural Gas,Natural Gas
39.542985,-121.492188,1968-03,117,437,Water,Hydro
29.2567,-98.3825,1968-04,252,3612,Natural Gas,Natural Gas
36.4833,-79.0731,1968-05,657,2712,Bituminous Coal,Coal
43.1411,-71.4692,1968-05,345.6,2364,Bituminous Coal,Coal
41.32909,-95.94466,1968-05,217.6,2291,Subbituminous Coal,Coal
38.915479,-90.290247,1968-05,549.7,2107,Subbituminous Coal,Coal
41.7694,-70.5097,1968-06,585,1599,Residual Fuel Oil,Petroleum
39.807275,-104.964548,1968-06,380.8,469,Natural Gas,Natural Gas
40.923565,-73.342323,1968-06,387,2516,Natural Gas,Natural Gas
39.542985,-121.492188,1968-06,117,437,Water,Hydro
40.7412,-91.116667,1968-06,212,1104,Natural Gas,Natural Gas
30.4392,-89.0286,1968-06,299.2,2049,Natural Gas,Natural Gas
29.4828,-95.6311,1968-06,580.5,3470,Natural Gas,Natural Gas
39.590556,-89.496389,1968-06,659.5,876,Subbituminous Coal,Coal
43.0303,-87.9233,1968-06,136,4042,Natural Gas,Natural Gas
38.765336,-120.787366,1968-06,133,435,Water,Hydro
40.6604,-79.3411,1968-07,936,3136,Bituminous Coal,Coal
36.43725,-99.22543,1968-07,125,3008,Natural Gas,Natural Gas
45.71644,-120.69408,1968-08,135,3082,Water,Hydro
38.82881,-120.537089,1968-08,78.9,430,Water,Hydro
39.542985,-121.492188,1968-08,117,437,Water,Hydro
32.802222,-115.54,1968-08,81.6,389,Natural Gas,Natural Gas
45.71644,-120.69408,1968-09,135,3082,Water,Hydro
39.1281,-119.1322,1968-09,115,2330,Natural Gas,Natural Gas
